中央,#genre#
茶频道高清,http://121.25.140.33:8888/rtp/239.253.93.212:6390
天元围棋,http://121.25.140.33:8888/rtp/239.253.93.211:6389
书画,http://121.25.140.33:8888/rtp/239.253.93.214:6392
摄影,http://121.25.140.33:8888/rtp/239.253.93.215:6393
央视台球高清,http://121.25.140.33:8888/rtp/239.253.93.231:6409
求索纪录高清,http://121.25.140.33:8888/rtp/239.253.93.236:6414
东方财经,http://121.25.140.33:8888/rtp/239.253.93.239:6417
金色学堂高清,http://121.25.140.33:8888/rtp/239.253.93.240:6418
法治天地高清,http://121.25.140.33:8888/rtp/239.253.93.241:6419
中华特产,http://121.25.140.33:8888/rtp/239.253.93.242:6420
四海钓鱼,http://121.25.140.33:8888/rtp/239.253.93.243:6421
优优宝贝,http://121.25.140.33:8888/rtp/239.253.93.244:6422
生态环境,http://121.25.140.33:8888/rtp/239.253.93.245:6423
家庭理财,http://121.25.140.33:8888/rtp/239.253.93.246:6424
财富天下,http://121.25.140.33:8888/rtp/239.253.93.247:6425
中华美食高清,http://121.25.140.33:8888/rtp/239.253.93.248:6426
电视指南高清,http://121.25.140.33:8888/rtp/239.253.93.249:6427
第一剧场高清,http://121.25.140.33:8888/rtp/239.253.93.138:6428
风云剧场高清,http://121.25.140.33:8888/rtp/239.253.93.251:6429
怀旧剧场高清,http://121.25.140.33:8888/rtp/239.253.93.252:6430
风云音乐高清,http://121.25.140.33:8888/rtp/239.253.93.253:6431
风云足球高清,http://121.25.140.33:8888/rtp/239.253.93.254:6432
高尔夫网球高清,http://121.25.140.33:8888/rtp/239.253.93.122:6465
武术世界高清,http://121.25.140.33:8888/rtp/239.253.93.46:6434
兵器科技高清,http://121.25.140.33:8888/rtp/239.253.93.47:6435
世界地理高清,http://121.25.140.33:8888/rtp/239.253.92.131:6113
文物宝库高清,http://121.25.140.33:8888/rtp/239.253.93.180:6437
女性时尚高清,http://121.25.140.33:8888/rtp/239.253.92.144:6114
文化精品高清,http://121.25.140.33:8888/rtp/239.253.93.175:6439
早期教育高清,http://121.25.140.33:8888/rtp/239.253.93.164:6440
梨园高清,http://121.25.140.33:8888/rtp/239.253.93.133:6441
CCTV-4K,http://121.25.140.33:8888/rtp/239.253.93.134:6631
CCTV4中文国际欧洲,http://121.25.140.33:8888/rtp/239.253.93.192:6370
CCTV4中文国际美洲,http://121.25.140.33:8888/rtp/239.253.93.193:6371
CGTN 英文记录,http://121.25.140.33:8888/rtp/239.253.93.195:6373
CGTN 西班牙语,http://121.25.140.33:8888/rtp/239.253.93.196:6374
CGTN 法语,http://121.25.140.33:8888/rtp/239.253.93.197:6375
CGTN 阿拉伯语,http://121.25.140.33:8888/rtp/239.253.93.198:6376
CGTN 俄语,http://121.25.140.33:8888/rtp/239.253.93.199:6377
